overall_rank,display_name,position,team,tier,points_total_pred,points_per_game_pred,vor,position_rank,live_adp,bye_week,manual_adjustment,override_note
129,Terry McLaurin,WR,WAS,6,108.1062944043378,8.024882690641837,-19.794655827007148,54,42.6,7,0.0,
130,De'Zhaun Stribling,WR,SF,6,107.7899122039637,7.612347551797459,-20.111038027381255,55,156.2,8,0.0,
131,Cooper Kupp,WR,SEA,6,106.78462768091534,7.6286091529651054,-21.116322550429615,56,159.0,11,0.0,
132,Adonai Mitchell,WR,NYJ,6,105.30692554964027,7.490919130222931,-22.59402468170468,57,162.4,13,0.0,
133,Eli Stowers,TE,PHI,4,104.76802673815875,7.592124462050121,-22.894769445847643,24,,,0.0,
134,Jonah Coleman,RB,DEN,4,90.26683446656476,6.685586903119166,-22.92073126841305,35,163.2,10,0.0,
135,Rico Dowdle,RB,PIT,4,88.3533341158609,6.527435305806979,-24.834231619116906,36,73.7,9,0.0,
136,Antonio Williams,WR,WAS,6,102.93966260466338,7.279724777153229,-24.961287626681568,58,157.4,7,0.0,
137,Jacory Croskey-Merritt,RB,WAS,4,87.55409144348728,6.468516588546053,-25.63347429149053,37,113.6,7,0.0,
138,Kenneth Gainwell,RB,TB,4,87.50270785688195,6.450617763230831,-25.684857878095855,38,,,0.0,
139,Tyjae Spears,RB,TEN,4,87.42525158094618,6.828689649539178,-25.76231415403163,39,124.3,9,0.0,
140,Rashid Shaheed,WR,SEA,6,101.65889403743442,7.356297122116794,-26.24205619391053,59,118.4,11,0.0,
141,Jordan Love,QB,GB,5,226.69492385505717,15.373675639022206,-27.185095850273257,19,148.2,11,0.0,
142,Dylan Sampson,RB,CLE,4,85.83644673346917,6.484266506388231,-27.351119001508636,40,163.2,11,0.0,
143,Germie Bernard,WR,PIT,6,99.93322069507033,7.063332930352132,-27.967729536274618,60,164.7,9,0.0,
144,Matthew Golden,WR,GB,6,99.8776583170566,7.222105683943249,-28.02329191428835,61,119.2,11,0.0,
145,Romeo Doubs,WR,NE,6,98.147612022531,7.0375933753385675,-29.753338208813943,62,108.8,11,0.0,
146,Christian Watson,WR,GB,6,97.98735150984827,7.371102177995325,-29.913598721496683,63,68.1,11,0.0,
147,Zachariah Branch,WR,ATL,6,97.02867024744121,6.859961694541369,-30.872279983903738,64,172.2,11,0.0,
148,Fernando Mendoza,QB,LV,5,222.83490408391097,14.938251344360255,-31.045115621419455,20,171.7,13,0.0,
149,Jordan Mason,RB,MIN,4,82.05583894303967,6.200989280205858,-31.131726791938135,41,122.5,6,0.0,
150,Emmett Johnson,RB,KC,4,81.83968021897527,6.062333280127431,-31.347885516002535,42,,,0.0,
151,Rashee Rice,WR,KC,6,96.18677332261572,7.657938225131613,-31.71417690872923,65,11.4,5,0.0,
152,Mike Washington,RB,LV,4,80.64543725958507,5.972145767621744,-32.542128475392744,43,160.1,13,0.0,
153,Joe Burrow,QB,CIN,5,220.97391544533747,15.590192253787306,-32.90610425999296,21,57.7,6,0.0,
154,DeMario Douglas,WR,NE,6,94.87089839392797,6.754482224364924,-33.03005183741698,66,,,0.0,
155,Chris Bell,WR,MIA,6,93.68588937306473,6.624729351478857,-34.215060858280225,67,,,0.0,
156,Malik Washington,WR,MIA,6,93.2556727095339,6.622162666403473,-34.64527752181105,68,156.2,6,0.0,
157,Darnell Mooney,WR,NYG,6,92.67658928955848,6.630115334317439,-35.22436094178647,69,177.2,8,0.0,
158,Jauan Jennings,WR,MIN,6,92.29993175253945,6.618478079388716,-35.6010184788055,70,141.9,6,0.0,
159,Malachi Fields,WR,NYG,6,92.21865138333052,6.516546781136776,-35.682298848014426,71,,,0.0,
160,Rhamondre Stevenson,RB,NE,4,76.57598046001839,5.835145613861372,-36.611585274959424,44,72.2,11,0.0,
161,Ted Hurst,WR,TB,6,91.14420541578689,6.445385109103111,-36.756744815558065,72,,,0.0,
162,Jayden Daniels,QB,WAS,5,216.98124328068099,15.477493753984108,-36.89877642464944,22,71.5,7,0.0,
163,Nicholas Singleton,RB,TEN,4,75.83385043709477,5.618889285004785,-37.35371529788304,45,,,0.0,
164,Rachaad White,RB,WAS,4,75.75072881302134,5.616541032943221,-37.43683692195647,46,97.9,7,0.0,
165,Keon Coleman,WR,BUF,6,90.18905162579391,6.709949562197748,-37.71189860555104,73,,,0.0,
166,Ricky Pearsall,WR,SF,6,90.0262580342979,6.917699868507761,-37.874692197047054,74,113.5,8,0.0,
167,Tucker Kraft,TE,GB,4,89.56800178766467,7.053339908747695,-38.094794396341726,25,112.4,11,0.0,
168,Cam Skattebo,RB,NYG,4,75.01662457030508,6.090463245101271,-38.170941164672726,47,30.7,8,0.0,
169,C.J. Stroud,QB,HOU,5,215.6327387860291,14.681586730405842,-38.24728091930132,23,160.2,8,0.0,
170,Brashard Smith,RB,KC,4,74.02301474215038,5.480402259074434,-39.16455099282743,48,,,0.0,
171,Gunnar Helm,TE,TEN,4,88.35163619245452,6.452138860801601,-39.311159991551875,26,,,0.0,
172,Travis Hunter,WR,JAX,6,88.24243882964964,7.376144600673423,-39.65851140169531,75,164.6,7,0.0,
173,Brenton Strange,TE,JAX,4,87.64994846918295,6.689995941323899,-40.01284771482345,27,164.7,7,0.0,
174,Ty Simpson,QB,LA,5,213.8661286236172,14.329958650861911,-40.01389108171324,24,,,0.0,
175,Kaytron Allen,RB,WAS,4,73.09518556955636,5.410245652630829,-40.092380165421446,49,,,0.0,
176,David Montgomery,RB,HOU,4,72.95240890226903,5.416079118725005,-40.23515683270878,50,62.6,8,0.0,
177,Caleb Douglas,WR,MIA,6,87.62635335853697,6.1922419410647525,-40.274596872807976,76,,,0.0,
178,Bhayshul Tuten,RB,JAX,4,72.59296769066613,5.467727891797997,-40.59459804431168,51,51.0,7,0.0,
179,Elijah Sarratt,WR,BAL,6,85.84856794142824,6.065116039588381,-42.05238228991671,77,,,0.0,
180,Tank Bigsby,RB,PHI,4,70.7415878206986,5.348669599508629,-42.44597791427921,52,156.4,10,0.0,
181,Chris Brazzell,WR,CAR,6,85.34102243402155,6.031375655333949,-42.5599277973234,78,,,0.0,
182,Ja'Kobi Lane,WR,BAL,6,85.13213550208332,6.020721059424952,-42.768814729261635,79,,,0.0,
183,Dalton Kincaid,TE,BUF,4,84.33047250002325,6.4490182982944795,-43.33232368398315,28,153.7,7,0.0,
184,Oscar Delp,TE,NO,4,83.92627297883618,6.083606060819064,-43.736523205170215,29,,,0.0,
185,Rashod Bateman,WR,BAL,6,83.86911898941565,6.1095573044899405,-44.0318312419293,80,145.3,13,0.0,
186,Kayshon Boutte,WR,NE,6,83.48797099245533,6.062795888565315,-44.41297923888962,81,168.4,11,0.0,
187,Pat Freiermuth,TE,PIT,4,83.16230289599287,6.1012580328075545,-44.50049328801353,30,,,0.0,
188,Marvin Mims Jr.,WR,DEN,6,83.36484430439297,5.972630094446745,-44.536105926951976,82,,,0.0,
189,Tre Harris,WR,LAC,6,81.89966153440338,5.822698716868012,-46.00128869694157,83,,,0.0,
190,Max Klare,TE,LA,4,81.38458917499764,5.8989406673690254,-46.27820700900875,31,,,0.0,
191,Blake Corum,RB,LA,4,66.88830597233252,4.969395941898735,-46.29925976264529,53,120.7,11,0.0,
192,Demond Claiborne,RB,MIN,4,66.55451985607901,4.930059638905543,-46.6330458788988,54,169.4,6,0.0,
193,Kaelon Black,RB,SF,4,66.55393292043401,4.9196912175299685,-46.6336328145438,55,159.4,8,0.0,
194,Skyler Bell,WR,BUF,6,80.42157269635142,5.6773107968091265,-47.47937753499353,84,,,0.0,
195,Kimani Vidal,RB,LAC,4,65.2472693618446,5.153833486252038,-47.94029637313321,56,169.9,7,0.0,
196,Brenen Thompson,WR,LAC,6,78.4692110010005,5.544534220696798,-49.43173923034445,85,,,0.0,
197,James Conner,RB,ARI,4,63.75015392261925,5.4862784286176565,-49.43741181235856,57,154.1,14,0.0,
198,Jonathon Brooks,RB,CAR,4,62.36441508461709,6.107510797494339,-50.823150650360716,58,114.7,5,0.0,
199,Zavion Thomas,WR,CHI,6,77.0239095389605,5.445048169928428,-50.877040692384455,86,,,0.0,
200,Adam Randall,RB,BAL,4,61.62697073765822,4.568769681327663,-51.56059499731959,59,,,0.0,
201,Pat Bryant,WR,DEN,6,75.80917805520556,5.523638335633828,-52.091772176139386,87,,,0.0,
202,Eli Raridon,TE,NE,4,75.42150340484127,5.469922186561872,-52.24129277916512,32,,,0.0,
