overall_rank,display_name,position,team,tier,points_total_pred,points_per_game_pred,vor,position_rank,live_adp,bye_week,manual_adjustment,override_note
542,Ian Thomas,TE,LV,4,14.849660325548856,1.2128707064310948,-112.81313585845754,100,,,0.0,
543,Gunner Olszewski,WR,NYG,6,14.93910263453341,1.107176919080199,-112.96184759681154,199,,,0.0,
544,Scott Miller,WR,CHI,6,14.936307476508283,1.2174920755655998,-112.96464275483666,200,,,0.0,
545,Payne Durham,TE,TB,4,14.69012487051044,1.1970510119489766,-112.97267131349595,101,,,0.0,
546,Ashton Dulin,WR,IND,6,14.915362210455577,1.1025806700034568,-112.98558802088937,201,,,0.0,
547,Beaux Collins,WR,NYG,6,14.468260484491143,1.151528673749881,-113.43268974685381,202,,,0.0,
548,Wesley Grimes,WR,SF,6,14.398750415283473,1.0179483807080996,-113.50219981606148,203,,,0.0,
549,Parris Campbell,WR,DAL,6,14.398116665433273,1.2470741220357475,-113.50283356591167,204,,,0.0,
550,Cameron Dorner,WR,NE,6,14.360584416344384,1.0151680877037856,-113.54036581500057,205,,,0.0,
551,Danny Gray,WR,PHI,6,14.206311196123057,1.276564703220849,-113.6946390352219,206,,,0.0,
552,LaJohntay Wester,WR,BAL,6,13.557230711576468,0.9790526740735429,-114.34371951976848,207,,,0.0,
553,Johnny Wilson,WR,PHI,6,13.491356672877728,1.159471824270966,-114.40959355846722,208,,,0.0,
554,Cedrick Wilson Jr.,WR,DET,6,13.48032949862188,1.0551669903486172,-114.42062073272307,209,,,0.0,
555,Xavier Weaver,WR,ARI,6,13.457213678287163,1.0931924079004818,-114.44373655305779,210,,,0.0,
556,Devin Duvernay,WR,ARI,6,13.41379627909172,0.9522752705982125,-114.48715395225324,211,,,0.0,
557,Albert Okwuegbunam,TE,LV,4,13.089362378350092,1.2167814630214695,-114.57343380565631,102,,,0.0,
558,Blake Whiteheart,TE,CLE,4,13.041516932010717,1.053928685293817,-114.62127925199567,103,,,0.0,
559,Julian Hill,TE,NE,4,12.974665095163948,0.9998290480281381,-114.68813108884245,104,,,0.0,
560,Cameron Latu,TE,PHI,4,12.781969656296425,1.0496894803489956,-114.88082652770997,105,,,0.0,
561,Simi Fehoko,WR,ARI,6,13.015957442022414,1.0367301087474952,-114.88499278932254,212,,,0.0,
562,Lucas Krull,TE,DEN,4,12.74559991400843,1.1103657394635562,-114.91719626999796,106,,,0.0,
563,Jelani Woods,TE,NYJ,4,12.474628366135347,1.1424780696893653,-115.18816781787105,107,,,0.0,
564,Braxton Berrios,WR,NYG,6,12.60973453788284,1.0377689054977082,-115.2912156934621,213,,,0.0,
565,Ben Skowronek,WR,PIT,6,12.373783054489834,0.8943651350551428,-115.52716717685512,214,,,0.0,
566,Marcus Sanders,WR,MIN,6,12.220191935990043,0.8641920108058012,-115.6807582953549,215,,,0.0,
567,Bub Means,WR,NO,6,12.210223484116044,1.0791075363437246,-115.69072674722891,216,,,0.0,
568,Treyvhon Saunders,WR,HOU,6,12.178702542900739,0.8611185277045522,-115.72224768844421,217,,,0.0,
569,Quintin Morris,TE,JAX,4,11.929565045604358,0.9305723986054831,-115.73323113840203,108,,,0.0,
570,Jaren Kanak,TE,TEN,4,11.827898105216809,0.8578102159763947,-115.83489807878959,109,,,0.0,
571,Kobe Prentice,WR,CAR,6,11.754261490322074,0.8309929376586835,-116.14668874102287,218,,,0.0,
572,Charlie Jones,WR,CIN,6,11.728354440749147,0.868363419673983,-116.1725957905958,219,,,0.0,
573,Jared Wiley,TE,KC,4,11.467949296366005,1.0488426377044913,-116.1948468876404,110,,,0.0,
574,Camden Brown,WR,DAL,6,11.57160409319654,0.8181905199703442,-116.32934613814841,220,,,0.0,
575,Durham Smythe,TE,BAL,4,11.299664044800837,0.903751470083107,-116.36313213920556,111,,,0.0,
576,Justin Shorter,WR,LV,6,11.394568203714176,0.9778290592291696,-116.50638202763078,221,,,0.0,
577,Riley Nowakowski,TE,PIT,4,11.007268962123884,0.7970399688232227,-116.65552722188251,112,,,0.0,
578,Lewis Bond,WR,HOU,6,11.220048347110831,0.7926871480896962,-116.68090188423412,222,,,0.0,
579,David Martin-Robinson,TE,TEN,4,10.860427315991299,0.8672445621324891,-116.8023688680151,113,,,0.0,
580,C.J. Williams,WR,JAX,6,11.066034671320917,0.7814028684233831,-116.83491556002403,223,,,0.0,
581,Trey Palmer,WR,NO,6,10.947940523124254,0.9200777815787027,-116.95300970822069,224,,,0.0,
582,Rashad Rochelle,WR,SEA,6,10.89755911941007,0.770485155585459,-117.00339111193487,225,,,0.0,
583,Dylan Drummond,WR,ATL,6,10.889552727425029,0.9019758564335233,-117.01139750391992,226,,,0.0,
584,Josh Kattus,TE,CIN,4,10.55118460885463,0.7652706748541993,-117.11161157515177,114,,,0.0,
585,Eric Saubert,TE,SEA,4,10.338054822154026,0.813201142527279,-117.32474136185238,115,,,0.0,
586,Tyler Scott,WR,LA,6,10.523763161639092,0.9312760745749856,-117.37718706970585,227,,,0.0,
587,Terrace Marshall Jr.,WR,MIA,6,10.49387042262826,0.9220179003134962,-117.40707980871669,228,,,0.0,
588,Xavier Restrepo,WR,TEN,6,10.366552456014075,0.8438145186329808,-117.53439777533087,229,,,0.0,
589,Tylan Wallace,WR,CLE,6,10.363564636555658,0.7771665030258443,-117.5373855947893,230,,,0.0,
590,Myles Price,WR,MIN,6,10.324024059349371,0.7338591305872488,-117.57692617199558,231,,,0.0,
591,Ainias Smith,WR,CAR,6,9.971563158888863,0.8861714585965157,-117.92938707245608,232,,,0.0,
592,Omari Evans,WR,KC,6,9.69238895489233,0.6851103833555532,-118.20856127645263,233,,,0.0,
593,Brevin Jordan,TE,HOU,4,9.428129663874508,0.8848937783118244,-118.2346665201319,116,,,0.0,
594,Nikko Remigio,WR,KC,6,9.563575861085697,0.7131639426292321,-118.33737437025925,234,,,0.0,
595,Austin Trammell,WR,JAX,6,9.520933367428773,0.7835313429787839,-118.38001686391618,235,,,0.0,
596,Jimmy Kibble,WR,NE,6,9.405692605347234,0.6648309197698132,-118.49525762599771,236,,,0.0,
597,R.J. Maryland,TE,GB,4,9.038064708745237,0.6557427528785303,-118.62473147526116,117,,,0.0,
598,Tanner Conner,TE,NYG,4,8.918658574302816,0.7363815105690832,-118.74413760970359,118,,,0.0,
599,Jack Stoll,TE,CLE,4,8.776466963236828,0.7127529018722404,-118.88632922076957,119,,,0.0,
600,Britain Covey,WR,PHI,6,9.008572298297471,0.7280951874007944,-118.89237793304748,237,,,0.0,
601,Efton Chism III,WR,NE,6,8.986006834588352,0.6844786323434865,-118.9149433967566,238,,,0.0,
602,Jeff Caldwell,WR,KC,6,8.984382694203749,0.6346069059374924,-118.9165675371412,239,,,0.0,
603,Xavier Loyd,WR,KC,6,8.984191231096743,0.6346069059374924,-118.9167590002482,240,,,0.0,
604,Gavin Bartholomew,TE,MIN,4,8.398452290584054,0.7340672387710738,-119.26434389342234,120,,,0.0,
605,Ke'Shawn Williams,WR,CIN,6,8.479437105696938,0.6280120745205521,-119.421513125648,241,,,0.0,
606,Stone Smartt,TE,PHI,4,8.131733233387322,0.6747449692792582,-119.53106295061907,121,,,0.0,
607,James Mitchell,TE,CAR,4,8.065982299026654,0.7398634939082043,-119.59681388497974,122,,,0.0,
608,Omari Kelly,WR,CHI,6,8.250045105633987,0.5830621638497168,-119.65090512571096,242,,,0.0,
609,Will Mallory,TE,IND,4,7.997991127617959,0.7185678805203279,-119.66480505638843,123,,,0.0,
610,Ben Yurosek,TE,MIN,4,7.630925181907339,0.615917182355178,-120.03187100209905,124,,,0.0,
611,Ryan Miller,WR,NYG,6,7.858472015972816,0.6076108017065054,-120.04247821537213,243,,,0.0,
612,Will Pauling,WR,SF,6,7.779835979402957,0.5495270168006406,-120.12111425194199,244,,,0.0,
613,Anthony Firkser,TE,WAS,4,7.48890126297267,0.648794419896799,-120.17389492103372,125,,,0.0,
614,Tahj Washington,WR,MIA,6,7.6976809138979485,0.6742232342611991,-120.203269317447,245,,,0.0,
615,Jaden Bradley,WR,WAS,6,7.595356954616127,0.5365230618158202,-120.30559327672883,246,,,0.0,
616,Vinny Anthony,WR,ATL,6,7.5938916587975385,0.5365390578373449,-120.30705857254742,247,,,0.0,
617,Ronnie Bell,WR,NO,6,7.505285151128389,0.6438194749384353,-120.39566508021656,248,,,0.0,
618,Eric Rivers,WR,TB,6,7.450287676242396,0.5260403555813871,-120.45066255510255,249,,,0.0,
619,Malik McClain,WR,NYJ,6,7.403664595572251,0.5227743984175556,-120.4972856357727,250,,,0.0,
620,Jalen Walthall,WR,NYJ,6,7.403559592143938,0.5227743984175556,-120.49739063920102,251,,,0.0,
621,Jake Bobo,WR,SEA,6,7.369951663050344,0.5875837239819585,-120.5309985682946,252,,,0.0,
622,Keleki Latu,TE,BUF,4,7.008568121360449,0.587435347603976,-120.65422806264594,126,,,0.0,
623,Jerand Bradley,WR,LAC,6,7.200359636041205,0.5084213936928922,-120.70059059530375,253,,,0.0,
624,Harrison Bryant,TE,SEA,4,6.950517313526916,0.5915811647063572,-120.71227887047948,127,,,0.0,
625,Quez Watkins,WR,PHI,6,7.135899991399172,0.6402984169260283,-120.76505023994578,254,,,0.0,
626,Ihmir Smith-Marsette,WR,ARI,6,7.131818960340304,0.5978903681591076,-120.76913127100465,255,,,0.0,
627,Tejhaun Palmer,WR,ARI,6,7.125698167173844,0.6416082583729437,-120.7752520641711,256,,,0.0,
628,Colson Yankoff,TE,WAS,4,6.878129580642145,0.5558146559771444,-120.78466660336426,128,,,0.0,
629,K.J. Osborn,WR,TEN,6,7.055109635644356,0.6109498699078438,-120.8458405957006,257,,,0.0,
630,Junior Bergen,WR,SF,6,7.004302387991248,0.5849786738701819,-120.8966478433537,258,,,0.0,
631,Jamaal Pritchett,WR,NYJ,6,6.988444651428912,0.5842172296336389,-120.91250557991604,259,,,0.0,
632,Dean Patterson,WR,TB,6,6.976547005524751,0.49245151442507595,-120.9244032258202,260,,,0.0,
633,Donaven McCulley,WR,MIA,6,6.950088455390211,0.4908622053175925,-120.95086177595473,261,,,0.0,
634,Cole Turner,TE,MIA,4,6.608262853755472,0.6266452182645622,-121.05453333025092,129,,,0.0,
635,Jacob De Jesus,WR,KC,6,6.799042724450334,0.4798450973448065,-121.10190750689462,262,,,0.0,
636,Dalen Cambre,WR,NYG,6,6.797668575004664,0.5460228551012407,-121.10328165634029,263,,,0.0,
637,Devonte Ross,WR,LAC,6,6.7946839819514775,0.4797412617497349,-121.10626624939347,264,,,0.0,
638,Sahmir Hagans,WR,IND,6,6.746083571115531,0.47642018383414686,-121.15486666022942,265,,,0.0,
639,Quentin Skinner,WR,NYJ,6,6.673548453211883,0.549666060261281,-121.22740177813307,266,,,0.0,
640,Moliki Matavao,TE,NO,4,6.394135651235152,0.5509929238703511,-121.26866053277125,130,,,0.0,
641,Chris Hilton,WR,WAS,6,6.6237392979815475,0.46770701686305327,-121.2772109333634,267,,,0.0,
642,Dillon Bell,WR,MIN,6,6.573068917979444,0.4645593017209352,-121.32788131336551,268,,,0.0,
643,Brenden Bates,TE,CLE,4,6.278063757011601,0.5481485116312307,-121.38473242699479,131,,,0.0,
644,Caullin Lacy,WR,NYJ,6,6.286802266977295,0.4436088350923721,-121.61414796436766,269,,,0.0,
645,Thomas Fidone II,TE,NYG,4,6.037706727288574,0.5198632097916439,-121.62508945671782,132,,,0.0,
646,Jason Brownlee,WR,KC,6,6.230258097984778,0.5360462095460451,-121.67069213336018,270,,,0.0,
647,Jakobie Keeney-James,WR,GB,6,6.226767727199324,0.5119276747927782,-121.67418250414562,271,,,0.0,
648,Mante Morrow,WR,LAC,6,6.188840392645775,0.43672115008454604,-121.71210983869918,272,,,0.0,
649,Noah Thomas,WR,CIN,6,6.179112672245676,0.43678654021051777,-121.72183755909927,273,,,0.0,
650,Kyron Hudson,WR,CHI,6,6.124665549731069,0.43231592282608916,-121.77628468161389,274,,,0.0,
651,Raylen Sharpe,WR,IND,6,6.111459767502329,0.4313329008455887,-121.78949046384263,275,,,0.0,
652,Dominic Lovett,WR,DET,6,6.109505125316281,0.4977109772496786,-121.79144510602868,276,,,0.0,
653,Hank Beatty,WR,TEN,6,6.0957157474805275,0.43077374176436867,-121.80523448386442,277,,,0.0,
654,Sincere Brown,WR,LAC,6,6.069324018710568,0.42824903024792266,-121.83162621263438,278,,,0.0,
655,Carter Runyon,TE,LV,4,5.826208332111823,0.48754006262763716,-121.83658785189458,133,,,0.0,
656,Ben Sims,TE,MIA,4,5.76805631051508,0.5114246125001113,-121.89473987349132,134,,,0.0,
657,Drake Dabney,TE,GB,4,5.749554469968212,0.49476626667045026,-121.91324171403818,135,,,0.0,
658,Jordan Hudson,WR,DAL,6,5.957392500599,0.42106165341808627,-121.94355773074595,279,,,0.0,
659,Kole Wilson,WR,CLE,6,5.954834861222772,0.4209048782999647,-121.94611537012217,280,,,0.0,
660,Shedrick Jackson,WR,LV,6,5.940908609290804,0.5117540813995146,-121.96004162205415,281,,,0.0,
661,Terrill Davis,WR,MIN,6,5.8711104950466515,0.41486189724988126,-122.0298397362983,282,,,0.0,
662,Harrison Wallace,WR,ARI,6,5.865016820285009,0.414323246738745,-122.03593341105994,283,,,0.0,
663,Daniel Sobkowicz,WR,HOU,6,5.852166989564548,0.41320132364483914,-122.0487832417804,284,,,0.0,
664,Samori Toure,WR,PHI,6,5.842943026992406,0.5164086699647031,-122.05800720435255,285,,,0.0,
665,Devin Culp,TE,TB,4,5.60204624395939,0.49406763104761814,-122.060749940047,136,,,0.0,
666,Trayvon Rudolph,WR,MIN,6,5.8060194685679285,0.40982298891621544,-122.09493076277703,286,,,0.0,
667,Jacoby Jones,WR,WAS,6,5.767236966317169,0.47471248270316996,-122.13371326502778,287,,,0.0,
668,Brady Boyd,WR,JAX,6,5.686646526309348,0.401417785397546,-122.2143037050356,288,,,0.0,
669,Cody Hardy,TE,NO,4,5.40023222492186,0.3915539158770002,-122.26256395908453,137,,,0.0,
670,Kenny Fletcher,TE,TB,4,5.326906794501376,0.3862600291759109,-122.33588938950501,138,,,0.0,
671,Lance Mason,TE,SEA,4,5.275966708977274,0.38248863159297586,-122.38682947502912,139,,,0.0,
672,Trebor Pena,WR,JAX,6,5.447322630291009,0.384428796398865,-122.45362760105394,289,,,0.0,
673,A.T. Perry,WR,PIT,6,5.435830037024207,0.4889557869767667,-122.46512019432075,290,,,0.0,
674,Dae'Quan Wright,TE,PHI,4,5.191284948076446,0.37635151836367187,-122.47151123592995,140,,,0.0,
675,Coleman Owen,WR,IND,6,5.426576479189383,0.4410453456188668,-122.47437375215557,291,,,0.0,
676,Jack Velling,TE,ATL,4,5.185712176115249,0.3759856739112739,-122.47708400789115,141,,,0.0,
677,Nick Kallerup,TE,SEA,4,5.185399648747326,0.4282252119520788,-122.47739653525907,142,,,0.0,
678,Tanner Arkin,TE,NE,4,5.158437534373674,0.3738943215613564,-122.50435864963272,143,,,0.0,
679,Johnny Pascuzzi,TE,LAC,4,5.157006957320406,0.37337692967241126,-122.50578922668599,144,,,0.0,
680,Evan Svoboda,TE,LAC,4,5.152645805198726,0.37337692967241126,-122.51015037880767,145,,,0.0,
681,Cam Grandy,TE,CIN,4,5.136503248595307,0.4618362153740907,-122.52629293541109,146,,,0.0,
682,Teagan Quitoriano,TE,ARI,4,5.090340043206971,0.467433989365114,-122.57245614079943,147,,,0.0,
683,Joseph Manjack,WR,DEN,6,5.312191561469041,0.37512872421114224,-122.58875866987592,292,,,0.0,
684,Mike Woods,WR,DEN,6,5.310251031678608,0.46639308957222625,-122.59069919966635,293,,,0.0,
685,Dane Key,WR,DEN,6,5.309324326865763,0.3751287242111422,-122.59162590447919,294,,,0.0,
686,Bryce Oliver,WR,TEN,6,5.304342716601095,0.4471578787917093,-122.59660751474385,295,,,0.0,
687,D.T. Sheffield,WR,NYJ,6,5.290953059715163,0.3730756523652206,-122.60999717162979,296,,,0.0,
688,Ty Pezza,WR,BAL,6,5.273865875042176,0.3723712367524392,-122.62708435630277,297,,,0.0,
689,Octavian Smith,WR,BAL,6,5.270921350748287,0.3723712367524392,-122.63002888059667,298,,,0.0,
690,Aaron Anderson,WR,CLE,6,5.262146452177185,0.37160965073976504,-122.63880377916776,299,,,0.0,
691,Jameson Geers,TE,ARI,4,5.022614355737492,0.36384200647635656,-122.64018182826891,148,,,0.0,
692,Lake McRee,TE,PIT,4,5.012993400051961,0.36305618618642677,-122.64980278395444,149,,,0.0,
693,Jimmy Holiday,WR,KC,6,5.250029111730871,0.4378972816503004,-122.65092111961408,300,,,0.0,
694,Ethan Conner,TE,JAX,4,4.9421937611887765,0.35812977596023327,-122.72060242281762,150,,,0.0,
695,Mason Kinsey,WR,TEN,6,5.135067155798987,0.41423646357097965,-122.76588307554596,301,,,0.0,
696,Brayden Willis,TE,SF,4,4.881075463046693,0.4127860213177623,-122.7817207209597,151,,,0.0,
697,Kyre Duplessis,WR,DET,6,5.108735528996261,0.3606590709906363,-122.79221470234869,302,,,0.0,
698,Patrick Gurd,TE,LV,4,4.857910117692992,0.351639615975422,-122.8048860663134,152,,,0.0,
699,Jared Wayne,WR,HOU,6,5.091460377791599,0.4519820650541291,-122.80948985355334,303,,,0.0,
700,Dan Villari,TE,LA,4,4.837400933766885,0.3502768632785821,-122.82539525023951,153,,,0.0,
701,Zaire Mitchell-Paden,TE,NO,4,4.833629544552835,0.43662216853519825,-122.82916663945356,154,,,0.0,
702,Layne Pryor,TE,HOU,4,4.831497724014778,0.3500010988127537,-122.83129845999161,155,,,0.0,
703,Kyle Dixon,WR,NE,6,5.0675717527799,0.3571880343002801,-122.83337847856505,304,,,0.0,
704,Nick DeGennaro,WR,NE,6,5.0663126802555905,0.3571880343002801,-122.83463755108936,305,,,0.0,
705,Xavier Gipson,WR,NYG,6,5.011173447446636,0.3892985705342329,-122.88977678389831,306,,,0.0,
706,Will Sheppard,WR,GB,6,4.99178387765844,0.4164565163129231,-122.90916635368652,307,,,0.0,
707,Trent Sherfield,WR,BUF,6,4.988251164616323,0.3994178215196862,-122.91269906672862,308,,,0.0,
708,Brock Rechsteiner,WR,NO,6,4.975665347453636,0.3512929853286117,-122.92528488389131,309,,,0.0,
709,JP Richardson,WR,CHI,6,4.955908136184315,0.41353254774510617,-122.94504209516063,310,,,0.0,
710,Bryson Green,WR,ARI,6,4.879267607622927,0.407618108735521,-123.02168262372203,311,,,0.0,
711,Kolbe Katsis,WR,DEN,6,4.786990523230631,0.3377840139554497,-123.11395970811432,312,,,0.0,
712,Le'Meke Brockington,WR,ATL,6,4.760677653726055,0.3358632364008061,-123.1402725776189,313,,,0.0,
713,Hayden Large,TE,CHI,4,4.442452979928934,0.3215983416005952,-123.22034320407747,156,,,0.0,
714,Cody White,WR,SEA,6,4.660022584088671,0.3731468747075693,-123.24092764725629,314,,,0.0,
715,Jeshaun Jones,WR,MIN,6,4.646359422330822,0.41189904779020253,-123.25459080901413,315,,,0.0,
716,E.J. Horton,WR,IND,6,4.639825528860883,0.3270275961806952,-123.26112470248407,316,,,0.0,
717,Garrett Greene,WR,TB,6,4.631017125782158,0.3861616494724083,-123.26993310556279,317,,,0.0,
718,Colton Dowell,WR,SF,6,4.542350648678167,0.4082069548127566,-123.35859958266678,318,,,0.0,
719,CJ Dippre,TE,NE,4,4.284962377229571,0.37389432156135644,-123.37783380677682,157,,,0.0,
720,Jordan Moore,WR,CIN,6,4.489395989581381,0.37464638322069566,-123.41155424176357,319,,,0.0,
721,Squirrel White,WR,CHI,6,4.480134290452849,0.31596849747328487,-123.4208159408921,320,,,0.0,
722,Mario Williams,WR,LA,6,4.468666373387301,0.37335055145795676,-123.43228385795764,321,,,0.0,
723,E.J. Williams,WR,LV,6,4.449005885138958,0.31390230127018254,-123.45194434620599,322,,,0.0,
724,Connor Heyward,TE,LV,4,4.188995632841388,0.3963399060040181,-123.47380055116501,158,,,0.0,
725,Tre Watson,TE,KC,4,4.17746504610677,0.3647939270604374,-123.48533113789962,159,,,0.0,
726,Jake Briningstool,TE,KC,4,4.176345112310521,0.3647939270604374,-123.48645107169588,160,,,0.0,
727,Rivaldo Fairweather,TE,ARI,4,4.168200479963932,0.3638420064763566,-123.49459570404247,161,,,0.0,
728,Michael Bandy,WR,DEN,6,4.40008404258653,0.3728015520209658,-123.50086618875842,323,,,0.0,
729,Luke Grimm,WR,LAC,6,4.380243849879534,0.3651517068558769,-123.52070638146542,324,,,0.0,
730,Keelan Marion,WR,ATL,6,4.293515270743597,0.30256910729234743,-123.60743496060135,325,,,0.0,
731,Ja'Seem Reed,WR,CAR,6,4.28945363334299,0.3584662309123579,-123.61149659800196,326,,,0.0,
732,Tim Jones,WR,JAX,6,4.275459769460455,0.3592949155089516,-123.6254904618845,327,,,0.0,
733,Dontae Fleming,WR,MIN,6,4.272578587852502,0.35634278720467527,-123.62837164349244,328,,,0.0,
734,Bryson Nesbit,TE,MIN,4,4.028001912306167,0.3517145417837168,-123.63479427170023,162,,,0.0,
735,Jackson Meeks,WR,DET,6,4.230330173908466,0.3535297774573473,-123.67062005743648,329,,,0.0,
736,A.J. Henning,WR,MIA,6,4.219595033229548,0.3518064176954146,-123.6813551981154,330,,,0.0,
737,Jeremiah Webb,WR,NE,6,4.2034996811885295,0.3502965606216505,-123.69745055015642,331,,,0.0,
738,Ben Nikkel,WR,IND,6,4.1993599637837375,0.29574584295696743,-123.70159026756122,332,,,0.0,
739,Dareke Young,WR,LV,6,4.148933888376383,0.32626225244323365,-123.75201634296857,333,,,0.0,
740,Luke Wysong,WR,MIN,6,4.1317869512450685,0.2914007550279633,-123.76916328009989,334,,,0.0,
741,Chase Roberts,WR,LV,6,4.1063259723064975,0.28952213160481316,-123.79462425903846,335,,,0.0,
742,Corey Rucker,WR,LV,6,4.105149848862371,0.28952213160481316,-123.79580038248258,336,,,0.0,
743,Jonathan Brady,WR,LV,6,4.105149848862371,0.28952213160481316,-123.79580038248258,337,,,0.0,
744,Zach Horton,TE,DET,4,3.840697994987725,0.33546508201362235,-123.82209818901867,163,,,0.0,
745,Dallen Bentley,TE,DEN,4,3.7956834962461583,0.27444950820405417,-123.86711268776024,164,,,0.0,
746,Jha'Quan Jackson,WR,HOU,6,3.988629878211649,0.3392126232358949,-123.9123203531333,338,,,0.0,
747,Cam Ross,WR,DEN,6,3.9865423873130275,0.28121334243417145,-123.91440784403193,339,,,0.0,
748,Ricky White III,WR,SEA,6,3.981867754848464,0.33219389890685347,-123.91908247649648,340,,,0.0,
749,Mark Redman,TE,LA,4,3.7369720336873407,0.3259293024599575,-123.92582415031906,165,,,0.0,
750,Brennan Presley,WR,LA,6,3.95929574154671,0.3303052741128022,-123.94165448979824,341,,,0.0,
751,Alex Bullock,WR,JAX,6,3.9462524949229225,0.27831564650374857,-123.95469773642203,342,,,0.0,
752,Ben Patterson,WR,JAX,6,3.9462524949229225,0.27831564650374857,-123.95469773642203,343,,,0.0,
753,Quentin Moore,TE,WAS,4,3.6446682396574053,0.26344195854713753,-124.01812794434899,166,,,0.0,
754,Rohan Jones,TE,LA,4,3.622883146137887,0.2621491046714999,-124.03991303786852,167,,,0.0,
755,D.J. Rogers,TE,DAL,4,3.622448009435302,0.2621412306717894,-124.0403481745711,168,,,0.0,
756,Ja'Mori Maclin,WR,BUF,6,3.828825596311216,0.270111406466416,-124.07212463503373,344,,,0.0,
757,JaQuae Jackson,WR,LAC,6,3.7975943205012483,0.3417564159454926,-124.1033559108437,345,,,0.0,
758,Isaiah Neyor,WR,GB,6,3.7907623955206504,0.315928937426127,-124.1101878358243,346,,,0.0,
759,Dennis Houston,WR,TB,6,3.7658450091898374,0.3384330802522656,-124.13510522215512,347,,,0.0,
760,Tyren Montgomery,WR,TEN,6,3.7033493146953127,0.261209688104495,-124.19760091664963,348,,,0.0,
761,Tom Kennedy,WR,DET,6,3.6633023201751627,0.2981813737836086,-124.23764791116979,349,,,0.0,
762,Eli Pancol,WR,IND,6,3.6514276197309097,0.3038928488242512,-124.24952261161404,350,,,0.0,
763,Gabriel Benyard,WR,BUF,6,3.615681987537336,0.25500164300385625,-124.28526824380762,351,,,0.0,
764,Caleb Lohner,TE,DEN,4,3.3306863124540866,0.29034555501287307,-124.3321098715523,169,,,0.0,
765,Romello Brinson,WR,DAL,6,3.5364732120001428,0.24941531987811447,-124.3644770193448,352,,,0.0,
766,Jaheim Bell,TE,PIT,4,3.2623983234666434,0.30344932530260904,-124.40039786053975,170,,,0.0,
767,Malick Meiga,WR,CAR,6,3.4635951577953388,0.24424163029341095,-124.43735507354961,353,,,0.0,
768,Chandler Brayboy,WR,JAX,6,3.4394384676037117,0.2867373819251283,-124.46151176374124,354,,,0.0,
769,Carson Towt,TE,IND,4,3.1880056342480705,0.23060355216851566,-124.47479054975832,171,,,0.0,
770,Brandon Smith,WR,PIT,6,3.40143015099361,0.30548177356559875,-124.49952008035135,355,,,0.0,
771,Josh Kelly,WR,HOU,6,3.3991107719179463,0.28331631616391745,-124.501839459427,356,,,0.0,
772,Ko Kieft,TE,TB,4,3.074987162904002,0.27696602368717627,-124.58780902110239,172,,,0.0,
773,Princeton Fant,TE,DAL,4,3.0402688825093067,0.2815895428740912,-124.62252730149709,173,,,0.0,
774,Damien Alford,WR,NO,6,3.257993269917568,0.22977508519501874,-124.64295696142739,357,,,0.0,
775,Luke Floriea,WR,CLE,6,3.257172326952673,0.2716147918472994,-124.64377790439228,358,,,0.0,
776,Brenden Rice,WR,GB,6,3.2503772927965033,0.2936330723848353,-124.65057293854845,359,,,0.0,
777,JJ Galbreath,TE,PIT,4,3.0002568265427354,0.2614724383691194,-124.66253935746366,174,,,0.0,
778,Feleipe Franks,TE,CAR,4,2.994523401205158,0.2366813614334671,-124.66827278280124,175,,,0.0,
779,Louis Hansen,TE,HOU,4,2.974936256510977,0.21502849817334313,-124.68785992749542,176,,,0.0,
780,Dohnte Meyers,WR,CIN,6,3.211732239667871,0.22634199241617453,-124.68921799167708,360,,,0.0,
781,Cortez Braham,WR,BAL,6,3.2035361836038363,0.22569996962240782,-124.69741404774112,361,,,0.0,
782,Stephen Gosnell,WR,BUF,6,3.1852548519564845,0.2656165034369226,-124.71569537938846,362,,,0.0,
783,Xavier Guillory,WR,BAL,6,3.1629441688329307,0.26364498273736414,-124.73800606251201,363,,,0.0,
784,Cornelius Johnson,WR,BAL,6,3.144226171719564,0.283380724749201,-124.75672405962538,364,,,0.0,
785,Traeshon Holden,WR,DAL,6,3.120503480830501,0.26017351789941506,-124.78044675051444,365,,,0.0,
786,Malik Turner,WR,SF,6,3.095203218378234,0.2686982752385256,-124.80574701296672,366,,,0.0,
787,Tru Edwards,WR,LA,6,3.003206160317287,0.25029467352117457,-124.89774407102766,367,,,0.0,
788,Patrick Herbert,TE,JAX,4,2.7501367122577043,0.23935412337603748,-124.9126594717487,177,,,0.0,
789,Montorie Foster Jr,WR,SEA,6,2.953445972216537,0.24620395545975476,-124.94750425912841,368,,,0.0,
790,Bryce Pierre,TE,CAR,4,2.650383546808462,0.23077713932255314,-125.01241263719794,178,,,0.0,
791,Chris Blair,WR,ATL,6,2.8772406395510854,0.2516618041288545,-125.02370959179386,369,,,0.0,
792,Dalevon Campbell,WR,LAC,6,2.7904659713808626,0.22981874129533003,-125.11048425996408,370,,,0.0,
793,Tyrone Broden,WR,SEA,6,2.775040216200563,0.23117959053175438,-125.12591001514438,371,,,0.0,
794,Dayton Wade,WR,BAL,6,2.7635404064405846,0.248970140632474,-125.13740982490437,372,,,0.0,
795,Joel Wilson,TE,TEN,4,2.44079484922673,0.2315753244616182,-125.22200133477966,179,,,0.0,
796,E.J. Jenkins,TE,PHI,4,2.4338137960182893,0.22408638159944708,-125.22898238798811,180,,,0.0,
